"","Feature","Coeff","abs_Coeff","scaled","abs_scaled"
"82","MYL9",-0.0471260576427739,0.0471260576427739,-0.0696433546097606,0.0696433546097606
"83","SEPT7",0.0389930270515437,0.0389930270515437,0.0576242814716975,0.0576242814716975
"84","DYTN",-0.0387468234709072,0.0387468234709072,-0.0572604393824136,0.0572604393824136
"85","RPS15A",-0.0340157599352507,0.0340157599352507,-0.0502688268441313,0.0502688268441313
"86","RBMXL1",-0.0329293325452902,0.0329293325452902,-0.0486632936898345,0.0486632936898345
"87","SLC24A3",0.0322131614284025,0.0322131614284025,0.0476049289220291,0.0476049289220291
"88","PACS1",0.0319442254776913,0.0319442254776913,0.047207492711161,0.047207492711161
"89","CYB5R3",-0.030827784035451,0.030827784035451,-0.0455576044932168,0.0455576044932168
"90","LINC00989",-0.0282410086641426,0.0282410086641426,-0.0417348422361781,0.0417348422361781
"91","`RP11-556I14.2`",0.0279381573565558,0.0279381573565558,0.0412872855751016,0.0412872855751016
"92","SNHG6",-0.0273997112223656,0.0273997112223656,-0.0404915645464954,0.0404915645464954
"93","LTF",-0.0260218914053513,0.0260218914053513,-0.0384554087782355,0.0384554087782355
"94","CMC2",-0.0214260136075212,0.0214260136075212,-0.0316635750618736,0.0316635750618736
"95","ZMYND12",-0.0205130218356403,0.0205130218356403,-0.0303143467812719,0.0303143467812719
"96","ANXA6",0.0172406330425851,0.0172406330425851,0.0254783782208784,0.0254783782208784
"97","STRBP",0.015704117352065,0.015704117352065,0.0232077001194022,0.0232077001194022
"98","CEP350",-0.0148749475193972,0.0148749475193972,-0.0219823447305443,0.0219823447305443
"99","FLII",0.0108756416745729,0.0108756416745729,0.0160721309533752,0.0160721309533752
"100","MAP4K2",0.010832225527767,0.010832225527767,0.0160079701417344,0.0160079701417344
"101","PPP6R1",0.00957772966071608,0.00957772966071608,0.0141540637278398,0.0141540637278398
"102","GNG11",-0.00447592762675632,0.00447592762675632,-0.00661457016584565,0.00661457016584565
"103","TSC22D3",-0.00386830747815956,0.00386830747815956,-0.00571662309381323,0.00571662309381323
